"Reference","Value","Datasheet","Qty","DNP","Popis","Price (CZK) /pc","Supplier","Inv. number","Mnf. number"
"BT1","Battery_Cell","https://www.patlcell.com/en/product/product-414.html","1","DNP","Single-cell battery","0","Re-Use","N/A","13400"
"D1","SYSD","https://www.farnell.com/datasheets/1689669.pdf","1","","Diode","1","LCSC","C53568","1N4007RLG"
"J1,J2","Conn_01x20","https://www.lcsc.com/datasheet/lcsc_datasheet_2409302330_ZHOURI-PM2-54-1-20_C5224030.pdf","2","","Generic connector, single row, 01x20, script generated (kicad-library-utils/schlib/autogen/connector/)","2.17","Ali","N/A","N/A"
"J3,J4,J5,J6,J7,J8","Conn_01x04","~","6","DNP","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","0","","",""
"R1","22k","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0603FR-0722KL_C114065.pdf","1","","Resistor","0,029","LCSC","C114065","RC0603FR-0722KL"
"R2","12k","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0603JR-0712KL_C137662.pdf","1","","Resistor","0,024","LCSC","C137662","RC0603JR-0712KL"
"SC1,SC2","Solar_Cell","https://www.aliexpress.com/item/1005002870807425.html","2","","Single solar cell","21,53","Ali","N/A","AK68X36"
"SW1","SW_SPDT","https://www.aliexpress.com/item/1005007162182882.html","1","","Switch, single pole double throw","0,94","Ali","N/A","SS12D00"
"U1","BMM","https://www.aliexpress.com/item/1005004427739715.html","1","","TP4056+DW01A battery management module","6,28","Ali","N/A","N/A"
"U2","DC/DC 5V out","https://www.aliexpress.com/item/32809095271.html","1","","500mA Step-Down DC/DC-Regulator, 7-28V input, 5V fixed Output Voltage, LM78xx replacement, -40°C to +85°C, SIP3","7,92","Ali","N/A","N/A"
